path,class,owner,source_of_truth,runbook,run_command,dependencies,notes
scripts/scripts_past/resolve_predictions.py,archive,archive-maintainer,scripts/scripts_past/resolve_predictions.py,docs/architecture/repo-script-classification.md,python3 scripts/scripts_past/resolve_predictions.py,Legacy scripts; do not execute in production,Phase 1 retained for reference only
scripts/scripts_past/run_open_interest.py,archive,archive-maintainer,scripts/scripts_past/run_open_interest.py,docs/architecture/repo-script-classification.md,python3 scripts/scripts_past/run_open_interest.py,Legacy scripts; do not execute in production,Phase 1 retained for reference only
scripts/scripts_past/run_tick.py,archive,archive-maintainer,scripts/scripts_past/run_tick.py,docs/architecture/repo-script-classification.md,python3 scripts/scripts_past/run_tick.py,Legacy scripts; do not execute in production,Phase 1 retained for reference only
scripts/scripts_past/train_models.py,archive,archive-maintainer,scripts/scripts_past/train_models.py,docs/architecture/repo-script-classification.md,python3 scripts/scripts_past/train_models.py,Legacy scripts; do not execute in production,Phase 1 retained for reference only
scripts/scripts_past/update_performance_log.py,archive,archive-maintainer,scripts/scripts_past/update_performance_log.py,docs/architecture/repo-script-classification.md,python3 scripts/scripts_past/update_performance_log.py,Legacy scripts; do not execute in production,Phase 1 retained for reference only
scripts/synthetic_indicators/analyze_revision2_synthetics.py,ops,ops-reliability,scripts/synthetic_indicators/analyze_revision2_synthetics.py,docs/runbooks/indicator-pipeline-recovery.md,python3 scripts/synthetic_indicators/analyze_revision2_synthetics.py,See docs/runbooks/indicator-pipeline-recovery.md,
scripts/synthetic_indicators/analyze_revision3_synthetics.py,ops,ops-reliability,scripts/synthetic_indicators/analyze_revision3_synthetics.py,docs/runbooks/indicator-pipeline-recovery.md,python3 scripts/synthetic_indicators/analyze_revision3_synthetics.py,See docs/runbooks/indicator-pipeline-recovery.md,
scripts/synthetic_indicators/analyze_synthetic_vs_15m_outcome.py,ops,ops-reliability,scripts/synthetic_indicators/analyze_synthetic_vs_15m_outcome.py,docs/runbooks/indicator-pipeline-recovery.md,python3 scripts/synthetic_indicators/analyze_synthetic_vs_15m_outcome.py,See docs/runbooks/indicator-pipeline-recovery.md,
scripts/synthetic_indicators/analyze_two_synthetic_candidates_full.py,ops,ops-reliability,scripts/synthetic_indicators/analyze_two_synthetic_candidates_full.py,docs/runbooks/indicator-pipeline-recovery.md,python3 scripts/synthetic_indicators/analyze_two_synthetic_candidates_full.py,See docs/runbooks/indicator-pipeline-recovery.md,
scripts/synthetic_indicators/backfill_signal_runtime_audit.py,ops,ops-reliability,scripts/synthetic_indicators/backfill_signal_runtime_audit.py,docs/runbooks/indicator-pipeline-recovery.md,python3 scripts/synthetic_indicators/backfill_signal_runtime_audit.py,See docs/runbooks/indicator-pipeline-recovery.md,
scripts/synthetic_indicators/debug_snapshot_pipeline_state.py,ops,ops-reliability,scripts/synthetic_indicators/debug_snapshot_pipeline_state.py,docs/runbooks/indicator-pipeline-recovery.md,python3 scripts/synthetic_indicators/debug_snapshot_pipeline_state.py,See docs/runbooks/indicator-pipeline-recovery.md,
scripts/synthetic_indicators/evaluate_syn_new_candidates.py,ops,ops-reliability,scripts/synthetic_indicators/evaluate_syn_new_candidates.py,docs/runbooks/indicator-pipeline-recovery.md,python3 scripts/synthetic_indicators/evaluate_syn_new_candidates.py,See docs/runbooks/indicator-pipeline-recovery.md,
scripts/synthetic_indicators/evaluate_synthetic_rules_hardcoded.py,ops,ops-reliability,scripts/synthetic_indicators/evaluate_synthetic_rules_hardcoded.py,docs/runbooks/indicator-pipeline-recovery.md,python3 scripts/synthetic_indicators/evaluate_synthetic_rules_hardcoded.py,See docs/runbooks/indicator-pipeline-recovery.md,
scripts/synthetic_indicators/fix_missing_ohlcv_from_coinbase_candles.py,ops,ops-reliability,scripts/synthetic_indicators/fix_missing_ohlcv_from_coinbase_candles.py,docs/runbooks/indicator-pipeline-recovery.md,python3 scripts/synthetic_indicators/fix_missing_ohlcv_from_coinbase_candles.py,See docs/runbooks/indicator-pipeline-recovery.md,
scripts/synthetic_indicators/recover_realtime_gap.py,ops,ops-reliability,scripts/synthetic_indicators/recover_realtime_gap.py,docs/runbooks/indicator-pipeline-recovery.md,python3 scripts/synthetic_indicators/recover_realtime_gap.py,See docs/runbooks/indicator-pipeline-recovery.md,
scripts/synthetic_indicators/repair_ohlcv_gaps_from_coinbase.py,ops,ops-reliability,scripts/synthetic_indicators/repair_ohlcv_gaps_from_coinbase.py,docs/runbooks/indicator-pipeline-recovery.md,python3 scripts/synthetic_indicators/repair_ohlcv_gaps_from_coinbase.py,See docs/runbooks/indicator-pipeline-recovery.md,
scripts/synthetic_indicators/repair_ohlcv_missing_buckets.py,ops,ops-reliability,scripts/synthetic_indicators/repair_ohlcv_missing_buckets.py,docs/runbooks/indicator-pipeline-recovery.md,python3 scripts/synthetic_indicators/repair_ohlcv_missing_buckets.py,See docs/runbooks/indicator-pipeline-recovery.md,
scripts/synthetic_indicators/research/build_canonical_signal_dataset.py,research,quant-research,scripts/synthetic_indicators/research/build_canonical_signal_dataset.py,docs/research/research-catalog.md,python3 scripts/synthetic_indicators/research/build_canonical_signal_dataset.py,Read-only analytics on indicators/training schemas,
scripts/synthetic_indicators/research/common.py,research,quant-research,scripts/synthetic_indicators/research/common.py,docs/research/research-catalog.md,python3 scripts/synthetic_indicators/research/common.py,Read-only analytics on indicators/training schemas,
scripts/synthetic_indicators/research/leakage_tests.py,research,quant-research,scripts/synthetic_indicators/research/leakage_tests.py,docs/research/research-catalog.md,python3 scripts/synthetic_indicators/research/leakage_tests.py,Read-only analytics on indicators/training schemas,
scripts/synthetic_indicators/research/metrics.py,research,quant-research,scripts/synthetic_indicators/research/metrics.py,docs/research/research-catalog.md,python3 scripts/synthetic_indicators/research/metrics.py,Read-only analytics on indicators/training schemas,
scripts/synthetic_indicators/research/regime_decomposition.py,research,quant-research,scripts/synthetic_indicators/research/regime_decomposition.py,docs/research/research-catalog.md,python3 scripts/synthetic_indicators/research/regime_decomposition.py,Read-only analytics on indicators/training schemas,
scripts/synthetic_indicators/research/rolling_walkforward.py,research,quant-research,scripts/synthetic_indicators/research/rolling_walkforward.py,docs/research/research-catalog.md,python3 scripts/synthetic_indicators/research/rolling_walkforward.py,Read-only analytics on indicators/training schemas,
scripts/synthetic_indicators/research/support_decay.py,research,quant-research,scripts/synthetic_indicators/research/support_decay.py,docs/research/research-catalog.md,python3 scripts/synthetic_indicators/research/support_decay.py,Read-only analytics on indicators/training schemas,
scripts/synthetic_indicators/run_codex_signals.py,ops,ops-reliability,scripts/synthetic_indicators/run_codex_signals.py,docs/runbooks/indicator-pipeline-recovery.md,python3 scripts/synthetic_indicators/run_codex_signals.py,See docs/runbooks/indicator-pipeline-recovery.md,
scripts/synthetic_indicators/run_signal_integrity_pipeline.py,ops,ops-reliability,scripts/synthetic_indicators/run_signal_integrity_pipeline.py,docs/runbooks/indicator-pipeline-recovery.md,python3 scripts/synthetic_indicators/run_signal_integrity_pipeline.py,See docs/runbooks/indicator-pipeline-recovery.md,
scripts/synthetic_indicators/run_synthetic_pipeline.py,ops,ops-reliability,scripts/synthetic_indicators/run_synthetic_pipeline.py,docs/runbooks/indicator-pipeline-recovery.md,python3 scripts/synthetic_indicators/run_synthetic_pipeline.py,See docs/runbooks/indicator-pipeline-recovery.md,
scripts/synthetic_indicators/verify_realtime_signal_pipeline.py,ops,ops-reliability,scripts/synthetic_indicators/verify_realtime_signal_pipeline.py,docs/runbooks/indicator-pipeline-recovery.md,python3 scripts/synthetic_indicators/verify_realtime_signal_pipeline.py,See docs/runbooks/indicator-pipeline-recovery.md,
scripts/synthetic_indicators/verify_realtime_stability_gate.py,ops,ops-reliability,scripts/synthetic_indicators/verify_realtime_stability_gate.py,docs/runbooks/indicator-pipeline-recovery.md,python3 scripts/synthetic_indicators/verify_realtime_stability_gate.py,See docs/runbooks/indicator-pipeline-recovery.md,
scripts/training_schema_review/__init__.py,research,quant-research,scripts/training_schema_review/__init__.py,docs/research/research-catalog.md,,Read-only analytics on indicators/training schemas,
scripts/training_schema_review/context.py,research,quant-research,scripts/training_schema_review/context.py,docs/research/research-catalog.md,python3 scripts/training_schema_review/context.py,Read-only analytics on indicators/training schemas,
scripts/training_schema_review/db.py,research,quant-research,scripts/training_schema_review/db.py,docs/research/research-catalog.md,python3 scripts/training_schema_review/db.py,Read-only analytics on indicators/training schemas,
scripts/training_schema_review/generate_training_ready_md.py,research,quant-research,scripts/training_schema_review/generate_training_ready_md.py,docs/research/research-catalog.md,python3 scripts/training_schema_review/generate_training_ready_md.py,Read-only analytics on indicators/training schemas,
scripts/training_schema_review/io_utils.py,research,quant-research,scripts/training_schema_review/io_utils.py,docs/research/research-catalog.md,python3 scripts/training_schema_review/io_utils.py,Read-only analytics on indicators/training schemas,
scripts/training_schema_review/logging_utils.py,research,quant-research,scripts/training_schema_review/logging_utils.py,docs/research/research-catalog.md,python3 scripts/training_schema_review/logging_utils.py,Read-only analytics on indicators/training schemas,
scripts/training_schema_review/queries.py,research,quant-research,scripts/training_schema_review/queries.py,docs/research/research-catalog.md,python3 scripts/training_schema_review/queries.py,Read-only analytics on indicators/training schemas,
scripts/training_schema_review/run_all.py,research,quant-research,scripts/training_schema_review/run_all.py,docs/research/research-catalog.md,python3 scripts/training_schema_review/run_all.py,Read-only analytics on indicators/training schemas,
scripts/training_schema_review/sections/__init__.py,research,quant-research,scripts/training_schema_review/sections/__init__.py,docs/research/research-catalog.md,,Read-only analytics on indicators/training schemas,
scripts/training_schema_review/sections/alignment_with_indicators.py,research,quant-research,scripts/training_schema_review/sections/alignment_with_indicators.py,docs/research/research-catalog.md,python3 scripts/training_schema_review/sections/alignment_with_indicators.py,Read-only analytics on indicators/training schemas,
scripts/training_schema_review/sections/ambiguities.py,research,quant-research,scripts/training_schema_review/sections/ambiguities.py,docs/research/research-catalog.md,python3 scripts/training_schema_review/sections/ambiguities.py,Read-only analytics on indicators/training schemas,
scripts/training_schema_review/sections/candles.py,research,quant-research,scripts/training_schema_review/sections/candles.py,docs/research/research-catalog.md,python3 scripts/training_schema_review/sections/candles.py,Read-only analytics on indicators/training schemas,
scripts/training_schema_review/sections/indicators.py,research,quant-research,scripts/training_schema_review/sections/indicators.py,docs/research/research-catalog.md,python3 scripts/training_schema_review/sections/indicators.py,Read-only analytics on indicators/training schemas,
scripts/training_schema_review/sections/inventory.py,research,quant-research,scripts/training_schema_review/sections/inventory.py,docs/research/research-catalog.md,python3 scripts/training_schema_review/sections/inventory.py,Read-only analytics on indicators/training schemas,
scripts/training_schema_review/time_utils.py,research,quant-research,scripts/training_schema_review/time_utils.py,docs/research/research-catalog.md,python3 scripts/training_schema_review/time_utils.py,Read-only analytics on indicators/training schemas,
scripts/window_edge/analyze_57open_to_01close_vs_00to14.py,research,quant-research,scripts/window_edge/analyze_57open_to_01close_vs_00to14.py,docs/research/research-catalog.md,python3 scripts/window_edge/analyze_57open_to_01close_vs_00to14.py,Read-only analytics on indicators/training schemas,
scripts/window_edge/backtest_btc_1m5m_lastN_hours.py,research,quant-research,scripts/window_edge/backtest_btc_1m5m_lastN_hours.py,docs/research/research-catalog.md,python3 scripts/window_edge/backtest_btc_1m5m_lastN_hours.py,Read-only analytics on indicators/training schemas,
scripts/window_edge/backtest_btc_last48h_nonrolling_vs_rolling.py,research,quant-research,scripts/window_edge/backtest_btc_last48h_nonrolling_vs_rolling.py,docs/research/research-catalog.md,python3 scripts/window_edge/backtest_btc_last48h_nonrolling_vs_rolling.py,Read-only analytics on indicators/training schemas,
scripts/window_edge/backtest_eth_last48h_nonrolling_vs_rolling.py,research,quant-research,scripts/window_edge/backtest_eth_last48h_nonrolling_vs_rolling.py,docs/research/research-catalog.md,python3 scripts/window_edge/backtest_eth_last48h_nonrolling_vs_rolling.py,Read-only analytics on indicators/training schemas,
scripts/window_edge/mine_eth_indicator_law_from_fired_events.py,research,quant-research,scripts/window_edge/mine_eth_indicator_law_from_fired_events.py,docs/research/research-catalog.md,python3 scripts/window_edge/mine_eth_indicator_law_from_fired_events.py,Read-only analytics on indicators/training schemas,
scripts/window_edge/rolling_21d_sigma_eval_training.py,research,quant-research,scripts/window_edge/rolling_21d_sigma_eval_training.py,docs/research/research-catalog.md,python3 scripts/window_edge/rolling_21d_sigma_eval_training.py,Read-only analytics on indicators/training schemas,
scripts/window_edge/run_boundary_return_experiments.py,research,quant-research,scripts/window_edge/run_boundary_return_experiments.py,docs/research/research-catalog.md,python3 scripts/window_edge/run_boundary_return_experiments.py,Read-only analytics on indicators/training schemas,
scripts/window_edge/simulate_indicators_last2w_57to01_filters.py,research,quant-research,scripts/window_edge/simulate_indicators_last2w_57to01_filters.py,docs/research/research-catalog.md,python3 scripts/window_edge/simulate_indicators_last2w_57to01_filters.py,Read-only analytics on indicators/training schemas,
scripts/window_edge/window_down_signal.py,research,quant-research,scripts/window_edge/window_down_signal.py,docs/research/research-catalog.md,python3 scripts/window_edge/window_down_signal.py,Read-only analytics on indicators/training schemas,
scripts/window_edge/window_edge_signal.py,research,quant-research,scripts/window_edge/window_edge_signal.py,docs/research/research-catalog.md,python3 scripts/window_edge/window_edge_signal.py,Read-only analytics on indicators/training schemas,
scripts/window_edge/window_edge_signal_rolling.py,research,quant-research,scripts/window_edge/window_edge_signal_rolling.py,docs/research/research-catalog.md,python3 scripts/window_edge/window_edge_signal_rolling.py,Read-only analytics on indicators/training schemas,
scripts/window_edge/window_up_signal.py,research,quant-research,scripts/window_edge/window_up_signal.py,docs/research/research-catalog.md,python3 scripts/window_edge/window_up_signal.py,Read-only analytics on indicators/training schemas,
syn-final/scripts/backtest_codex.py,research,quant-research,syn-final/scripts/backtest_codex.py,docs/research/research-catalog.md,python3 syn-final/scripts/backtest_codex.py,Read-only analytics on indicators/training schemas,
syn-final/scripts/backtest_minimax_ob_oi.py,research,quant-research,syn-final/scripts/backtest_minimax_ob_oi.py,docs/research/research-catalog.md,python3 syn-final/scripts/backtest_minimax_ob_oi.py,Read-only analytics on indicators/training schemas,
syn-final/scripts/backtest_precision_dual_regime_gate.py,research,quant-research,syn-final/scripts/backtest_precision_dual_regime_gate.py,docs/research/research-catalog.md,python3 syn-final/scripts/backtest_precision_dual_regime_gate.py,Read-only analytics on indicators/training schemas,
syn-final/scripts/check_inputs_atr_normalized_reversal_pressure.py,ops,ops-reliability,syn-final/scripts/check_inputs_atr_normalized_reversal_pressure.py,docs/runbooks/indicator-pipeline-recovery.md,python3 syn-final/scripts/check_inputs_atr_normalized_reversal_pressure.py,See docs/runbooks/indicator-pipeline-recovery.md,
syn-final/scripts/check_inputs_codex.py,ops,ops-reliability,syn-final/scripts/check_inputs_codex.py,docs/runbooks/indicator-pipeline-recovery.md,python3 syn-final/scripts/check_inputs_codex.py,See docs/runbooks/indicator-pipeline-recovery.md,
syn-final/scripts/check_inputs_cvd_price_divergence_velocity.py,ops,ops-reliability,syn-final/scripts/check_inputs_cvd_price_divergence_velocity.py,docs/runbooks/indicator-pipeline-recovery.md,python3 syn-final/scripts/check_inputs_cvd_price_divergence_velocity.py,See docs/runbooks/indicator-pipeline-recovery.md,
syn-final/scripts/check_inputs_early_impulse_liquidity_alignment_2m.py,ops,ops-reliability,syn-final/scripts/check_inputs_early_impulse_liquidity_alignment_2m.py,docs/runbooks/indicator-pipeline-recovery.md,python3 syn-final/scripts/check_inputs_early_impulse_liquidity_alignment_2m.py,See docs/runbooks/indicator-pipeline-recovery.md,
syn-final/scripts/check_inputs_early_momentum_divergence_score.py,ops,ops-reliability,syn-final/scripts/check_inputs_early_momentum_divergence_score.py,docs/runbooks/indicator-pipeline-recovery.md,python3 syn-final/scripts/check_inputs_early_momentum_divergence_score.py,See docs/runbooks/indicator-pipeline-recovery.md,
syn-final/scripts/check_inputs_glm_1.py,ops,ops-reliability,syn-final/scripts/check_inputs_glm_1.py,docs/runbooks/indicator-pipeline-recovery.md,python3 syn-final/scripts/check_inputs_glm_1.py,See docs/runbooks/indicator-pipeline-recovery.md,
syn-final/scripts/check_inputs_glm_2.py,ops,ops-reliability,syn-final/scripts/check_inputs_glm_2.py,docs/runbooks/indicator-pipeline-recovery.md,python3 syn-final/scripts/check_inputs_glm_2.py,See docs/runbooks/indicator-pipeline-recovery.md,
syn-final/scripts/check_inputs_mtf_signed_efficiency_ratio.py,ops,ops-reliability,syn-final/scripts/check_inputs_mtf_signed_efficiency_ratio.py,docs/runbooks/indicator-pipeline-recovery.md,python3 syn-final/scripts/check_inputs_mtf_signed_efficiency_ratio.py,See docs/runbooks/indicator-pipeline-recovery.md,
syn-final/scripts/check_inputs_multitimeframe_trend_confluence.py,ops,ops-reliability,syn-final/scripts/check_inputs_multitimeframe_trend_confluence.py,docs/runbooks/indicator-pipeline-recovery.md,python3 syn-final/scripts/check_inputs_multitimeframe_trend_confluence.py,See docs/runbooks/indicator-pipeline-recovery.md,
syn-final/scripts/check_inputs_ob_imbalance_acceleration_3p.py,ops,ops-reliability,syn-final/scripts/check_inputs_ob_imbalance_acceleration_3p.py,docs/runbooks/indicator-pipeline-recovery.md,python3 syn-final/scripts/check_inputs_ob_imbalance_acceleration_3p.py,See docs/runbooks/indicator-pipeline-recovery.md,
syn-final/scripts/check_inputs_oi_funding_impulse_confirmation_2m.py,ops,ops-reliability,syn-final/scripts/check_inputs_oi_funding_impulse_confirmation_2m.py,docs/runbooks/indicator-pipeline-recovery.md,python3 syn-final/scripts/check_inputs_oi_funding_impulse_confirmation_2m.py,See docs/runbooks/indicator-pipeline-recovery.md,
syn-final/scripts/check_inputs_oi_price_divergence_4h.py,ops,ops-reliability,syn-final/scripts/check_inputs_oi_price_divergence_4h.py,docs/runbooks/indicator-pipeline-recovery.md,python3 syn-final/scripts/check_inputs_oi_price_divergence_4h.py,See docs/runbooks/indicator-pipeline-recovery.md,
